    Hinst Name                                       Module Name                Inst Count           Total Area
------------------------------------------------------------------------------------------------------------
r29_int4                                                                              2051             8087.916
  counter_inst_18__u_counter_asyn/reg_gen_4__u_dreg  dreg_171                            2               11.732
  counter_inst_18__u_counter_asyn/reg_gen_5__u_dreg  dreg_170                            2               11.732
  counter_inst_18__u_counter_asyn/reg_gen_6__u_dreg  dreg_169                            2               11.732
  counter_inst_18__u_counter_asyn/reg_gen_7__u_dreg  dreg_168                            2               11.732
  counter_inst_18__u_counter_asyn/reg_gen_8__u_dreg  dreg_167                            2               11.732
  counter_inst_18__u_counter_asyn/reg_gen_9__u_dreg  dreg_166                            2               11.732
 counter_inst_19__u_counter_asyn                     counter_asyn_REG_SIZE16_9          48              225.264
  counter_inst_19__u_counter_asyn/reg_gen_0__u_dreg  dreg_159                            2               11.732
  counter_inst_19__u_counter_asyn/reg_gen_10__u_dreg dreg_149                            2               11.732
  counter_inst_19__u_counter_asyn/reg_gen_11__u_dreg dreg_148                            2               11.732
  counter_inst_19__u_counter_asyn/reg_gen_12__u_dreg dreg_147                            2               11.732
  counter_inst_19__u_counter_asyn/reg_gen_13__u_dreg dreg_146                            2               11.732
  counter_inst_19__u_counter_asyn/reg_gen_14__u_dreg dreg_145                            2               11.732
  counter_inst_19__u_counter_asyn/reg_gen_15__u_dreg dreg_144                            2               11.732
  counter_inst_19__u_counter_asyn/reg_gen_1__u_dreg  dreg_158                            2               11.732
  counter_inst_19__u_counter_asyn/reg_gen_2__u_dreg  dreg_157                            2               11.732
  counter_inst_19__u_counter_asyn/reg_gen_3__u_dreg  dreg_156                            2               11.732
  counter_inst_19__u_counter_asyn/reg_gen_4__u_dreg  dreg_155                            2               11.732
  counter_inst_19__u_counter_asyn/reg_gen_5__u_dreg  dreg_154                            2               11.732
  counter_inst_19__u_counter_asyn/reg_gen_6__u_dreg  dreg_153                            2               11.732
  counter_inst_19__u_counter_asyn/reg_gen_7__u_dreg  dreg_152                            2               11.732
  counter_inst_19__u_counter_asyn/reg_gen_8__u_dreg  dreg_151                            2               11.732
  counter_inst_19__u_counter_asyn/reg_gen_9__u_dreg  dreg_150                            2               11.732
 counter_inst_1__u_counter_asyn                      counter_asyn_REG_SIZE16_27         48              225.264
  counter_inst_1__u_counter_asyn/reg_gen_0__u_dreg   dreg_447                            2               11.732
  counter_inst_1__u_counter_asyn/reg_gen_10__u_dreg  dreg_437                            2               11.732
  counter_inst_1__u_counter_asyn/reg_gen_11__u_dreg  dreg_436                            2               11.732
  counter_inst_1__u_counter_asyn/reg_gen_12__u_dreg  dreg_435                            2               11.732
  counter_inst_1__u_counter_asyn/reg_gen_13__u_dreg  dreg_434                            2               11.732
  counter_inst_1__u_counter_asyn/reg_gen_14__u_dreg  dreg_433                            2               11.732
  counter_inst_1__u_counter_asyn/reg_gen_15__u_dreg  dreg_432                            2               11.732
  counter_inst_1__u_counter_asyn/reg_gen_1__u_dreg   dreg_446                            2               11.732
  counter_inst_1__u_counter_asyn/reg_gen_2__u_dreg   dreg_445                            2               11.732
  counter_inst_1__u_counter_asyn/reg_gen_3__u_dreg   dreg_444                            2               11.732
  counter_inst_1__u_counter_asyn/reg_gen_4__u_dreg   dreg_443                            2               11.732
  counter_inst_1__u_counter_asyn/reg_gen_5__u_dreg   dreg_442                            2               11.732
  counter_inst_1__u_counter_asyn/reg_gen_6__u_dreg   dreg_441                            2               11.732
  counter_inst_1__u_counter_asyn/reg_gen_7__u_dreg   dreg_440                            2               11.732
  counter_inst_1__u_counter_asyn/reg_gen_8__u_dreg   dreg_439                            2               11.732
  counter_inst_1__u_counter_asyn/reg_gen_9__u_dreg   dreg_438                            2               11.732
 counter_inst_20__u_counter_asyn                     counter_asyn_REG_SIZE16_8          48              225.264
  counter_inst_20__u_counter_asyn/reg_gen_0__u_dreg  dreg_143                            2               11.732
  counter_inst_20__u_counter_asyn/reg_gen_10__u_dreg dreg_133                            2               11.732
  counter_inst_20__u_counter_asyn/reg_gen_11__u_dreg dreg_132                            2               11.732
  counter_inst_20__u_counter_asyn/reg_gen_12__u_dreg dreg_131                            2               11.732
  counter_inst_20__u_counter_asyn/reg_gen_13__u_dreg dreg_130                            2               11.732
  counter_inst_20__u_counter_asyn/reg_gen_14__u_dreg dreg_129                            2               11.732
  counter_inst_20__u_counter_asyn/reg_gen_15__u_dreg dreg_128                            2               11.732
  counter_inst_20__u_counter_asyn/reg_gen_1__u_dreg  dreg_142                            2               11.732
  counter_inst_20__u_counter_asyn/reg_gen_2__u_dreg  dreg_141                            2               11.732
  counter_inst_20__u_counter_asyn/reg_gen_3__u_dreg  dreg_140                            2               11.732
  counter_inst_20__u_counter_asyn/reg_gen_4__u_dreg  dreg_139                            2               11.732
  counter_inst_20__u_counter_asyn/reg_gen_5__u_dreg  dreg_138                            2               11.732
  counter_inst_20__u_counter_asyn/reg_gen_6__u_dreg  dreg_137                            2               11.732
  counter_inst_20__u_counter_asyn/reg_gen_7__u_dreg  dreg_136                            2               11.732
  counter_inst_20__u_counter_asyn/reg_gen_8__u_dreg  dreg_135                            2               11.732
  counter_inst_20__u_counter_asyn/reg_gen_9__u_dreg  dreg_134                            2               11.732
 counter_inst_21__u_counter_asyn                     counter_asyn_REG_SIZE16_7          48              225.264
  counter_inst_21__u_counter_asyn/reg_gen_0__u_dreg  dreg_127                            2               11.732
  counter_inst_21__u_counter_asyn/reg_gen_10__u_dreg dreg_117                            2               11.732
  counter_inst_21__u_counter_asyn/reg_gen_11__u_dreg dreg_116                            2               11.732
  counter_inst_21__u_counter_asyn/reg_gen_12__u_dreg dreg_115                            2               11.732
  counter_inst_21__u_counter_asyn/reg_gen_13__u_dreg dreg_114                            2               11.732
  counter_inst_21__u_counter_asyn/reg_gen_14__u_dreg dreg_113                            2               11.732
  counter_inst_21__u_counter_asyn/reg_gen_15__u_dreg dreg_112                            2               11.732
  counter_inst_21__u_counter_asyn/reg_gen_1__u_dreg  dreg_126                            2               11.732
